SCHID,SCH_PSDISC_OOMOOS_BL_M,SCH_PSDISC_OOMOOS_WH_M,TOT_PSDISC
100134,,2,11
100135,4.0,3,7
100136,5.0,5,10
100137,2.0,2,4
100138,6.0,3,9
100139,,2,5
100140,6.0,4,10
100141,2.0,1,3
100142,3.0,1,4
100143,5.0,3,8
100144,3.0,2,5
100145,4.0,3,7
100146,5.0,5,10
100147,6.0,2,8
100148,3.0,1,4
100149,3.0,4,7
100150,4.0,3,7
100151,5.0,6,11
100152,4.0,3,7
100153,2.0,4,6
100154,6.0,1,7
100155,6.0,6,12
100156,8.0,4,12
100157,1.0,4,5
100158,6.0,4,10
100159,2.0,4,6
100160,5.0,1,6
100161,2.0,2,4
100162,6.0,5,11
100163,4.0,2,6
100164,3.0,5,8
100165,5.0,2,7
100166,6.0,0,6
100167,3.0,3,6
100168,4.0,4,8
100169,8.0,1,9
100170,4.0,1,5
100171,10.0,4,14
100172,4.0,3,7
100173,5.0,3,8
100174,10.0,3,13
100175,,2,5
100176,,2,6
100177,7.0,3,10
100178,5.0,2,7
100179,10.0,4,14
100180,,2,6
100181,2.0,3,5
100182,3.0,1,4
100183,5.0,4,9
100184,8.0,2,10
100185,4.0,4,8
100186,3.0,3,6
100187,8.0,4,12
100188,6.0,5,11
100189,8.0,5,13
100190,3.0,3,6
100191,3.0,2,5
100192,5.0,2,7
100193,11.0,1,12
100194,7.0,3,10
100195,4.0,3,7
100196,3.0,1,4
100197,8.0,0,8
100198,8.0,2,10
100199,3.0,1,4
100200,3.0,5,8
100201,6.0,4,10
100202,2.0,3,5
100203,7.0,6,13
100204,5.0,5,10
100205,5.0,3,8
100206,6.0,6,12
100207,1.0,4,5
100208,10.0,1,11
100209,2.0,5,7
100210,5.0,8,13
100211,4.0,2,6
100212,5.0,2,7
100213,4.0,4,8
100214,5.0,4,9
100215,6.0,1,7
100216,1.0,0,1
100217,3.0,3,6
100218,2.0,2,4
100219,,6,11
100220,4.0,2,6
100221,7.0,2,9
100222,7.0,3,10
100223,2.0,4,6
100224,6.0,4,10
100225,7.0,1,8
100226,2.0,2,4
100227,7.0,8,15
100228,5.0,3,8
100229,7.0,3,10
100230,6.0,3,9
100231,5.0,2,7
100232,6.0,2,8
100233,5.0,2,7
100234,4.0,1,5
100235,7.0,5,12
100236,1.0,6,7
100237,,3,11
100238,4.0,6,10
100239,5.0,2,7
100240,3.0,3,6
100241,7.0,2,9
100242,2.0,3,5
100243,5.0,5,10
100244,10.0,3,13
100245,7.0,3,10
100246,7.0,3,10
100247,10.0,5,15
100248,1.0,4,5
100249,5.0,3,8
100250,3.0,1,4
100251,8.0,4,12
100252,7.0,1,8
100253,3.0,7,10
100254,1.0,5,6
100255,5.0,4,9
100256,3.0,7,10
100257,6.0,4,10
100258,3.0,7,10
100259,4.0,4,8
100260,5.0,3,8
100261,8.0,1,9
100262,7.0,3,10
100263,5.0,1,6
100264,4.0,4,8
100265,6.0,3,9
100266,8.0,3,11
100267,4.0,3,7
100268,3.0,2,5
100269,2.0,4,6
100270,3.0,6,9
100271,9.0,1,10
100272,5.0,6,11
100273,4.0,7,11
100274,7.0,2,9
100275,8.0,3,11
100276,4.0,1,5
100277,4.0,2,6
100278,8.0,2,10
100279,5.0,3,8
100280,5.0,3,8
100281,6.0,4,10
100282,7.0,0,7
100283,2.0,2,4
100284,1.0,3,4
100285,7.0,4,11
100286,5.0,1,6
100287,4.0,1,5
100288,4.0,3,7
100289,3.0,3,6
100290,8.0,3,11
100291,7.0,4,11
100292,1.0,2,3
100293,2.0,4,6
100294,4.0,5,9
100295,6.0,5,11
100296,4.0,5,9
100297,6.0,1,7
100298,8.0,1,9
100299,7.0,1,8
100300,5.0,5,10
100301,2.0,5,7
100302,1.0,5,6
100303,7.0,1,8
100304,4.0,2,6
100305,1.0,3,4
100306,6.0,3,9
100307,5.0,3,8
100308,,3,11
100309,5.0,1,6
100310,4.0,2,6
100311,10.0,1,11
100312,7.0,3,10
100313,4.0,6,10
100314,8.0,4,12
100315,5.0,5,10
100316,5.0,3,8
100317,5.0,1,6
100318,2.0,2,4
100319,3.0,5,8
100320,4.0,7,11
100321,9.0,5,14
100322,0.0,3,3
100323,5.0,4,9
100324,5.0,2,7
100325,,3,8
100326,5.0,4,9
100327,,1,5
100328,9.0,4,13
100329,6.0,4,10
100330,2.0,1,3
100331,6.0,0,6
100332,6.0,2,8
100333,6.0,3,9
100334,5.0,4,9
100335,2.0,3,5
100336,5.0,3,8
100337,3.0,2,5
100338,,3,6
100339,3.0,4,7
100340,6.0,6,12
100341,6.0,3,9
100342,4.0,5,9
100343,5.0,3,8
100344,5.0,3,8
100345,7.0,2,9
100346,5.0,3,8
100347,3.0,2,5
100348,4.0,2,6
100349,7.0,5,12
100350,5.0,4,9
100351,7.0,0,7
100352,8.0,2,10
100353,7.0,4,11
100354,5.0,5,10
100355,8.0,2,10
100356,,2,6
100357,6.0,4,10
100358,8.0,3,11
100359,6.0,4,10
100360,3.0,2,5
100361,8.0,4,12
100362,4.0,2,6
100363,7.0,0,7
100364,2.0,3,5
100365,,3,13
100366,6.0,5,11
100367,4.0,6,10
100368,5.0,2,7
100369,6.0,10,16
100370,4.0,3,7
100371,5.0,1,6
100372,,5,11
100373,3.0,3,6
100374,7.0,2,9
100375,7.0,2,9
100376,8.0,6,14
100377,4.0,1,5
100378,7.0,2,9
100379,3.0,5,8
100380,4.0,2,6
100381,4.0,4,8
100382,0.0,3,3
100383,1.0,3,4
100384,1.0,3,4
100385,7.0,1,8
100386,5.0,1,6
100387,5.0,4,9
100388,8.0,4,12
100389,3.0,2,5
100390,5.0,4,9
100391,3.0,2,5
100392,5.0,2,7
100393,,3,4
100394,7.0,3,10
100395,2.0,2,4
100396,4.0,2,6
100397,6.0,2,8
100398,7.0,1,8
100399,9.0,2,11
100400,4.0,3,7
100401,1.0,1,2
100402,4.0,3,7
100403,6.0,1,7
100404,3.0,1,4
100405,4.0,3,7
100406,2.0,4,6
100407,6.0,7,13
100408,8.0,2,10
100409,7.0,3,10
100410,2.0,2,4
100411,6.0,4,10
100412,9.0,1,10
100413,3.0,3,6
100414,8.0,6,14
100415,7.0,1,8
100416,,4,10
100417,10.0,3,13
100418,5.0,3,8
100419,5.0,2,7
100420,5.0,3,8
100421,5.0,4,9
100422,4.0,1,5
100423,10.0,3,13
100424,3.0,4,7
100425,2.0,4,6
100426,6.0,3,9
100427,4.0,2,6
100428,4.0,4,8
100429,8.0,6,14
100430,5.0,3,8
100431,4.0,7,11
100432,7.0,3,10
100433,4.0,2,6
100434,2.0,2,4
100435,2.0,5,7
100436,3.0,4,7
100437,3.0,1,4
100438,8.0,3,11
100439,6.0,1,7
100440,0.0,5,5
100441,8.0,4,12
100442,,0,5
100443,4.0,2,6
100444,5.0,2,7
100445,7.0,3,10
100446,6.0,6,12
100447,3.0,3,6
100448,4.0,3,7
100449,2.0,3,5
100450,4.0,3,7
100451,1.0,2,3
100452,9.0,1,10
100453,3.0,1,4
100454,1.0,2,3
100455,5.0,1,6
100456,4.0,4,8
100457,6.0,5,11
100458,,5,10
100459,8.0,2,10
100460,5.0,4,9
100461,7.0,2,9
100462,4.0,4,8
100463,1.0,4,5
100464,5.0,7,12
100465,,2,6
100466,3.0,2,5
100467,2.0,9,11
100468,,4,16
100469,5.0,5,10
100470,10.0,1,11
100471,6.0,0,6
100472,1.0,4,5
100473,6.0,3,9
100474,2.0,1,3
100475,4.0,6,10
100476,5.0,1,6
100477,8.0,0,8
100478,4.0,1,5
100479,2.0,1,3
100480,1.0,6,7
100481,8.0,3,11
100482,8.0,2,10
100483,4.0,7,11
100484,1.0,4,5
100485,9.0,2,11
100486,4.0,2,6
100487,2.0,3,5
100488,4.0,1,5
100489,3.0,1,4
100490,8.0,2,10
100491,9.0,3,12
100492,4.0,3,7
100493,4.0,6,10
100494,5.0,8,13
100495,11.0,2,13
100496,8.0,2,10
100497,6.0,2,8
100498,2.0,1,3
100499,8.0,3,11
100500,7.0,1,8
100501,6.0,4,10
100502,5.0,4,9
100503,3.0,4,7
100504,5.0,2,7
100505,3.0,1,4
100506,3.0,2,5
100507,7.0,2,9
100508,4.0,5,9
100509,4.0,3,7
100510,6.0,2,8
100511,6.0,6,12
100512,3.0,4,7
100513,4.0,4,8
100514,6.0,2,8
100515,6.0,1,7
100516,6.0,2,8
100517,6.0,5,11
100518,3.0,3,6
100519,5.0,4,9
100520,2.0,1,3
100521,5.0,4,9
100522,3.0,5,8
100523,3.0,3,6
100524,5.0,1,6
100525,11.0,3,14
100526,7.0,2,9
100527,7.0,5,12
100528,4.0,3,7
100529,1.0,2,3
100530,4.0,3,7
100531,5.0,1,6
100532,4.0,1,5
100533,4.0,4,8
100534,7.0,5,12
100535,6.0,1,7
100536,8.0,3,11
100537,4.0,3,7
100538,3.0,2,5
100539,0.0,2,2
100540,4.0,4,8
100541,1.0,4,5
100542,,1,5
100543,3.0,2,5
100544,5.0,3,8
100545,6.0,0,6
100546,6.0,1,7
100547,4.0,7,11
100548,4.0,3,7
100549,5.0,2,7
100550,,7,8
100551,9.0,4,13
100552,7.0,1,8
100553,5.0,3,8
100554,4.0,2,6
100555,5.0,3,8
100556,4.0,11,15
100557,1.0,4,5
100558,3.0,1,4
100559,7.0,2,9
100560,6.0,3,9
100561,10.0,2,12
100562,4.0,2,6
100563,5.0,2,7
100564,6.0,2,8
100565,6.0,2,8
100566,8.0,7,15
100567,4.0,3,7
100568,3.0,0,3
100569,3.0,5,8
100570,9.0,2,11
100571,7.0,4,11
100572,2.0,2,4
100573,2.0,3,5
100574,4.0,3,7
100575,6.0,8,14
100576,9.0,5,14
100577,11.0,7,18
100578,4.0,3,7
100579,7.0,2,9
100580,7.0,4,11
100581,3.0,4,7
100582,7.0,3,10
100583,,3,8
100584,2.0,0,2
100585,,3,12
100586,6.0,1,7
100587,3.0,1,4
100588,6.0,3,9
100589,3.0,2,5
100590,2.0,3,5
100591,8.0,3,11
100592,4.0,1,5
100593,5.0,3,8
100594,4.0,3,7
100595,3.0,4,7
100596,4.0,1,5
100597,3.0,1,4
100598,,2,13
100599,6.0,2,8
100600,5.0,2,7
100601,5.0,3,8
100602,5.0,0,5
100603,3.0,6,9
100604,6.0,2,8
100605,4.0,5,9
100606,5.0,0,5
100607,3.0,2,5
100608,7.0,5,12
100609,3.0,4,7
100610,6.0,2,8
100611,7.0,2,9
100612,1.0,3,4
100613,6.0,1,7
100614,4.0,3,7
100615,2.0,6,8
100616,2.0,2,4
100617,5.0,3,8
100618,5.0,1,6
100619,3.0,0,3
100620,5.0,2,7
100621,11.0,3,14
100622,2.0,6,8
100623,6.0,1,7
100624,5.0,2,7
100625,3.0,4,7
100626,4.0,3,7
100627,10.0,6,16
100628,1.0,2,3
100629,8.0,4,12
100630,3.0,6,9
100631,5.0,2,7
100632,4.0,3,7
100633,11.0,1,12
100634,3.0,6,9
100635,4.0,4,8
100636,3.0,2,5
100637,3.0,4,7
100638,8.0,4,12
100639,1.0,2,3
100640,5.0,5,10
100641,7.0,2,9
100642,3.0,2,5
100643,7.0,3,10
100644,5.0,4,9
100645,7.0,2,9
100646,5.0,3,8
100647,7.0,5,12
100648,5.0,4,9
100649,4.0,2,6
100650,5.0,4,9
100651,11.0,2,13
100652,7.0,3,10
100653,6.0,2,8
100654,3.0,2,5
100655,0.0,4,4
100656,10.0,0,10
100657,5.0,1,6
100658,5.0,6,11
100659,3.0,3,6
100660,4.0,4,8
100661,2.0,6,8
100662,2.0,4,6
100663,7.0,3,10
100664,3.0,2,5
100665,1.0,6,7
100666,3.0,8,11
100667,7.0,5,12
100668,5.0,2,7
100669,5.0,1,6
100670,4.0,6,10
100671,,3,8
100672,5.0,1,6
100673,3.0,2,5
100674,3.0,1,4
100675,6.0,5,11
100676,6.0,3,9
100677,4.0,2,6
100678,9.0,4,13
100679,6.0,5,11
100680,5.0,3,8
100681,5.0,2,7
100682,4.0,6,10
100683,10.0,0,10
100684,6.0,2,8
100685,2.0,6,8
100686,4.0,3,7
100687,3.0,4,7
100688,2.0,1,3
100689,5.0,4,9
100690,6.0,2,8
100691,5.0,1,6
100692,,2,12
100693,5.0,3,8
100694,5.0,3,8
100695,4.0,3,7
100696,4.0,4,8
100697,,3,6
100698,6.0,4,10
100699,4.0,3,7
100700,2.0,1,3
100701,9.0,1,10
100702,5.0,1,6
100703,9.0,4,13
100704,5.0,3,8
100705,5.0,7,12
100706,1.0,7,8
100707,5.0,4,9
100708,8.0,4,12
100709,6.0,3,9
100710,,10,12
100711,5.0,3,8
100712,5.0,4,9
100713,4.0,2,6
100714,6.0,5,11
100715,5.0,2,7
100716,6.0,3,9
100717,5.0,2,7
100718,4.0,3,7
100719,7.0,4,11
100720,5.0,2,7
100721,7.0,5,12
100722,6.0,3,9
100723,4.0,3,7
100724,8.0,4,12
100725,4.0,4,8
100726,3.0,4,7
100727,5.0,0,5
100728,10.0,2,12
100729,6.0,6,12
100730,4.0,2,6
100731,3.0,4,7
100732,3.0,3,6
100733,5.0,4,9
100734,2.0,3,5
100735,6.0,2,8
100736,2.0,2,4
100737,5.0,1,6
100738,2.0,3,5
100739,6.0,1,7
100740,3.0,6,9
100741,5.0,1,6
100742,2.0,0,2
100743,6.0,4,10
100744,6.0,1,7
100745,7.0,4,11
100746,6.0,1,7
100747,6.0,3,9
100748,4.0,3,7
100749,4.0,2,6
100750,7.0,4,11
100751,5.0,5,10
100752,5.0,1,6
100753,8.0,3,11
100754,4.0,6,10
100755,2.0,1,3
100756,3.0,3,6
100757,4.0,1,5
100758,6.0,3,9
100759,9.0,4,13
100760,3.0,4,7
100761,5.0,3,8
100762,3.0,3,6
100763,2.0,3,5
100764,4.0,1,5
100765,9.0,2,11
100766,4.0,4,8
100767,5.0,2,7
100768,8.0,5,13
100769,8.0,0,8
100770,5.0,3,8
100771,3.0,2,5
100772,9.0,5,14
100773,,6,8
100774,8.0,3,11
100775,7.0,1,8
100776,6.0,4,10
100777,9.0,1,10
100778,3.0,4,7
100779,6.0,1,7
100780,7.0,4,11
100781,7.0,1,8
100782,5.0,5,10
100783,5.0,2,7
100784,1.0,5,6
100785,7.0,2,9
100786,4.0,3,7
100787,7.0,2,9
100788,5.0,1,6
100789,5.0,7,12
100790,3.0,4,7
100791,5.0,3,8
100792,5.0,6,11
100793,4.0,1,5
100794,3.0,3,6
100795,3.0,5,8
100796,5.0,3,8
100797,10.0,3,13
100798,2.0,1,3
100799,5.0,4,9
100800,3.0,4,7
100801,4.0,5,9
100802,6.0,2,8
100803,3.0,2,5
100804,4.0,2,6
100805,4.0,3,7
100806,5.0,3,8
100807,,2,10
100808,5.0,2,7
100809,,2,8
100810,3.0,5,8
100811,,2,6
100812,5.0,3,8
100813,6.0,4,10
100814,7.0,2,9
100815,5.0,1,6
100816,2.0,5,7
100817,6.0,4,10
100818,4.0,4,8
100819,,3,5
100820,4.0,3,7
100821,2.0,6,8
100822,3.0,1,4
100823,4.0,5,9
100824,7.0,5,12
100825,5.0,5,10
100826,5.0,6,11
100827,7.0,2,9
100828,9.0,3,12
100829,7.0,6,13
100830,,1,7
100831,6.0,2,8
100832,9.0,4,13
100833,2.0,1,3
100834,3.0,2,5
100835,9.0,3,12
100836,3.0,0,3
100837,8.0,3,11
100838,5.0,2,7
100839,4.0,0,4
100840,9.0,2,11
100841,2.0,3,5
100842,5.0,0,5
100843,10.0,2,12
100844,5.0,3,8
100845,4.0,1,5
100846,7.0,6,13
100847,3.0,3,6
100848,6.0,1,7
100849,3.0,2,5
100850,3.0,4,7
100851,4.0,1,5
100852,,5,6
100853,2.0,5,7
100854,4.0,1,5
100855,5.0,2,7
100856,8.0,2,10
100857,,4,11
100858,,2,9
100859,2.0,2,4
100860,6.0,3,9
100861,8.0,6,14
100862,6.0,2,8
100863,4.0,3,7
100864,4.0,3,7
100865,4.0,3,7
100866,1.0,3,4
100867,6.0,4,10
100868,8.0,1,9
100869,7.0,2,9
100870,7.0,0,7
100871,6.0,2,8
100872,6.0,6,12
100873,4.0,4,8
100874,3.0,3,6
100875,6.0,4,10
100876,3.0,2,5
100877,10.0,0,10
100878,5.0,3,8
100879,6.0,0,6
100880,6.0,2,8
100881,4.0,3,7
100882,6.0,3,9
100883,5.0,3,8
100884,3.0,6,9
100885,2.0,2,4
100886,3.0,5,8
100887,,6,8
100888,8.0,4,12
100889,7.0,3,10
100890,4.0,3,7
100891,3.0,2,5
100892,3.0,4,7
100893,6.0,6,12
100894,5.0,3,8
100895,1.0,3,4
100896,8.0,2,10
100897,9.0,6,15
100898,4.0,2,6
100899,7.0,3,10
100900,3.0,3,6
100901,7.0,1,8
100902,5.0,1,6
100903,6.0,2,8
100904,8.0,1,9
100905,,5,7
100906,4.0,0,4
100907,9.0,3,12
100908,4.0,5,9
100909,4.0,2,6
100910,3.0,3,6
100911,4.0,4,8
100912,4.0,3,7
100913,6.0,2,8
100914,7.0,4,11
100915,3.0,1,4
100916,6.0,1,7
100917,8.0,4,12
100918,7.0,2,9
100919,3.0,4,7
100920,4.0,2,6
100921,6.0,1,7
100922,8.0,3,11
100923,3.0,2,5
100924,4.0,2,6
100925,,4,7
100926,8.0,6,14
100927,1.0,4,5
100928,3.0,3,6
100929,7.0,3,10
100930,5.0,3,8
100931,9.0,1,10
100932,5.0,0,5
100933,4.0,2,6
100934,5.0,1,6
100935,7.0,3,10
100936,3.0,1,4
100937,6.0,6,12
100938,7.0,2,9
100939,4.0,3,7
100940,4.0,3,7
100941,4.0,0,4
100942,3.0,3,6
100943,,3,7
100944,2.0,2,4
100945,7.0,3,10
100946,6.0,1,7
100947,7.0,3,10
100948,5.0,3,8
100949,4.0,7,11
100950,,0,5
100951,4.0,6,10
100952,7.0,4,11
100953,5.0,4,9
100954,6.0,3,9
100955,5.0,7,12
100956,2.0,3,5
100957,4.0,2,6
100958,4.0,6,10
100959,6.0,2,8
100960,11.0,2,13
100961,6.0,5,11
100962,8.0,2,10
100963,5.0,1,6
100964,3.0,5,8
100965,5.0,0,5
100966,1.0,3,4
100967,8.0,1,9
100968,6.0,3,9
100969,,3,7
100970,7.0,3,10
100971,1.0,2,3
100972,7.0,5,12
100973,3.0,6,9
100974,9.0,5,14
100975,4.0,2,6
100976,2.0,2,4
100977,4.0,7,11
100978,6.0,3,9
100979,2.0,4,6
100980,,2,3
100981,7.0,2,9
100982,7.0,2,9
100983,6.0,7,13
100984,8.0,0,8
100985,7.0,8,15
100986,5.0,5,10
100987,6.0,4,10
100988,6.0,6,12
100989,7.0,2,9
100990,6.0,5,11
100991,3.0,3,6
100992,3.0,2,5
100993,1.0,6,7
100994,5.0,5,10
100995,3.0,5,8
100996,9.0,3,12
100997,8.0,3,11
100998,4.0,3,7
100999,2.0,4,6
101000,3.0,3,6
101001,2.0,2,4
101002,4.0,2,6
101003,4.0,1,5
101004,5.0,1,6
101005,8.0,3,11
101006,6.0,5,11
101007,3.0,2,5
101008,,3,8
101009,6.0,5,11
101010,3.0,2,5
101011,8.0,2,10
101012,8.0,3,11
101013,5.0,3,8
101014,4.0,1,5
101015,2.0,5,7
101016,6.0,5,11
101017,,1,6
101018,6.0,4,10
101019,,5,12
101020,3.0,3,6
101021,9.0,1,10
101022,2.0,5,7
101023,0.0,5,5
101024,,4,10
101025,4.0,3,7
101026,6.0,3,9
101027,4.0,3,7
101028,5.0,2,7
101029,2.0,2,4
101030,5.0,4,9
101031,4.0,1,5
101032,3.0,2,5
101033,5.0,3,8
101034,3.0,0,3
101035,3.0,2,5
101036,4.0,2,6
101037,8.0,2,10
101038,5.0,4,9
101039,,3,7
101040,4.0,1,5
101041,4.0,5,9
101042,4.0,4,8
101043,7.0,5,12
101044,8.0,3,11
101045,7.0,3,10
101046,3.0,2,5
101047,6.0,2,8
101048,,3,9
101049,4.0,1,5
101050,6.0,2,8
101051,9.0,7,16
101052,6.0,2,8
101053,4.0,3,7
101054,6.0,3,9
101055,7.0,4,11
101056,4.0,3,7
101057,3.0,3,6
101058,4.0,5,9
101059,5.0,1,6
101060,3.0,2,5
101061,5.0,2,7
101062,3.0,4,7
101063,5.0,1,6
101064,5.0,2,7
101065,5.0,1,6
101066,6.0,3,9
101067,6.0,2,8
101068,6.0,1,7
101069,5.0,4,9
101070,7.0,4,11
101071,3.0,1,4
101072,,0,5
101073,7.0,1,8
101074,2.0,2,4
101075,8.0,2,10
101076,4.0,3,7
101077,2.0,3,5
101078,5.0,4,9
101079,5.0,3,8
101080,4.0,2,6
101081,6.0,2,8
101082,8.0,3,11
101083,4.0,3,7
101084,,7,10
101085,6.0,2,8
101086,,2,6
101087,2.0,4,6
101088,3.0,2,5
101089,1.0,5,6
101090,9.0,3,12
101091,5.0,4,9
101092,3.0,2,5
101093,4.0,4,8
101094,3.0,2,5
101095,4.0,3,7
101096,6.0,3,9
101097,4.0,3,7
101098,2.0,7,9
101099,6.0,2,8
101100,3.0,6,9
101101,6.0,0,6
101102,2.0,3,5
101103,8.0,4,12
101104,3.0,2,5
101105,6.0,2,8
101106,4.0,3,7
101107,5.0,4,9
101108,6.0,4,10
101109,1.0,0,1
101110,5.0,0,5
101111,7.0,4,11
101112,6.0,5,11
101113,6.0,4,10
101114,7.0,4,11
101115,4.0,6,10
101116,3.0,2,5
101117,8.0,3,11
101118,4.0,2,6
101119,5.0,1,6
101120,5.0,7,12
101121,3.0,3,6
101122,9.0,2,11
101123,8.0,5,13
101124,6.0,4,10
101125,3.0,5,8
101126,,2,7
101127,5.0,3,8
101128,5.0,0,5
101129,3.0,7,10
101130,7.0,7,14
101131,3.0,2,5
101132,0.0,2,2
101133,6.0,3,9
101134,6.0,4,10
101135,4.0,2,6
101136,5.0,5,10
101137,9.0,1,10
101138,5.0,0,5
101139,4.0,4,8
101140,3.0,1,4
101141,6.0,1,7
101142,2.0,2,4
101143,6.0,1,7
101144,6.0,1,7
101145,6.0,1,7
101146,5.0,3,8
101147,3.0,4,7
101148,4.0,3,7
101149,4.0,2,6
101150,5.0,3,8
101151,4.0,2,6
101152,4.0,3,7
101153,5.0,2,7
101154,,4,9
101155,5.0,2,7
101156,7.0,4,11
101157,3.0,1,4
101158,2.0,2,4
101159,4.0,4,8
101160,4.0,4,8
101161,6.0,2,8
101162,3.0,7,10
101163,5.0,2,7
101164,5.0,1,6
101165,5.0,0,5
101166,5.0,3,8
101167,3.0,2,5
101168,10.0,2,12
101169,5.0,4,9
101170,4.0,1,5
101171,4.0,2,6
101172,7.0,2,9
101173,3.0,3,6
101174,6.0,1,7
101175,2.0,3,5
101176,4.0,2,6
101177,4.0,6,10
101178,4.0,4,8
101179,8.0,4,12
101180,5.0,2,7
101181,8.0,1,9
101182,5.0,9,14
101183,7.0,6,13
101184,8.0,3,11
101185,3.0,4,7
101186,4.0,3,7
101187,6.0,4,10
101188,4.0,5,9
101189,4.0,2,6
101190,6.0,2,8
101191,2.0,4,6
101192,4.0,1,5
101193,2.0,7,9
101194,8.0,2,10
101195,7.0,5,12
101196,2.0,5,7
101197,5.0,5,10
101198,6.0,1,7
101199,7.0,5,12
101200,7.0,5,12
101201,7.0,2,9
101202,6.0,4,10
101203,5.0,5,10
101204,5.0,6,11
101205,,3,11
101206,7.0,3,10
101207,4.0,4,8
101208,5.0,1,6
101209,8.0,2,10
101210,5.0,10,15
101211,2.0,5,7
101212,3.0,3,6
101213,7.0,3,10
101214,3.0,2,5
101215,8.0,3,11
101216,1.0,2,3
101217,5.0,5,10
101218,3.0,2,5
101219,,5,10
101220,5.0,3,8
101221,2.0,2,4
101222,7.0,4,11
101223,2.0,3,5
101224,4.0,4,8
101225,5.0,3,8
101226,4.0,2,6
101227,4.0,5,9
101228,5.0,2,7
101229,4.0,1,5
101230,4.0,4,8
101231,5.0,2,7
101232,7.0,5,12
101233,6.0,3,9
101234,6.0,4,10
101235,8.0,2,10
101236,,1,6
101237,2.0,3,5
101238,4.0,3,7
101239,6.0,5,11
101240,3.0,5,8
101241,3.0,1,4
101242,5.0,2,7
101243,5.0,6,11
101244,6.0,1,7
101245,2.0,3,5
101246,6.0,3,9
101247,4.0,4,8
101248,3.0,4,7
101249,4.0,5,9
101250,2.0,2,4
101251,6.0,1,7
101252,8.0,1,9
101253,5.0,3,8
101254,6.0,4,10
101255,5.0,5,10
101256,5.0,6,11
101257,6.0,5,11
101258,4.0,2,6
101259,4.0,4,8
101260,5.0,3,8
101261,5.0,3,8
101262,4.0,4,8
101263,4.0,1,5
101264,7.0,1,8
101265,5.0,6,11
101266,4.0,1,5
101267,3.0,2,5
101268,9.0,2,11
101269,,2,8
101270,6.0,4,10
101271,4.0,6,10
101272,7.0,5,12
101273,6.0,2,8
101274,6.0,3,9
101275,2.0,4,6
101276,6.0,2,8
101277,4.0,4,8
101278,7.0,1,8
101279,8.0,0,8
